"id";"nome";"uf"
"1648";"ARAPIRACA";"AL"
"325";"ARAPOEMA";"TO"
"2276";"ARAPONGA";"MG"
"3920";"ARAPONGAS";"PR"
"2277";"ARAPORA";"MG"
"3921";"ARAPOTI";"PR"
"2278";"ARAPUA";"MG"
"3922";"ARAPUA";"PR"
"5150";"ARAPUTANGA";"MT"
"4319";"ARAQUARI";"SC"
"1250";"ARARA";"PB"
"4320";"ARARANGUA";"SC"
"3294";"ARARAQUARA";"SP"
"3295";"ARARAS";"SP"
"902";"ARARENDA";"CE"
"467";"ARARI";"MA"
"4611";"ARARICA";"RS"
"903";"ARARIPE";"CE"
"1473";"ARARIPINA";"PE"
"3169";"ARARUAMA";"RJ"
"1251";"ARARUNA";"PB"
"3923";"ARARUNA";"PR"
"1849";"ARATACA";"BA"
"4612";"ARATIBA";"RS"
"904";"ARATUBA";"CE"
"1850";"ARATUIPE";"BA"
"1750";"ARAUA";"SE"
"3924";"ARAUCARIA";"PR"
"2279";"ARAUJOS";"MG"
"2280";"ARAXA";"MG"
"2281";"ARCEBURGO";"MG"
"3296";"ARCO-IRIS";"SP"
"2282";"ARCOS";"MG"
"1474";"ARCOVERDE";"PE"
"2283";"AREADO";"MG"
"3170";"AREAL";"RJ"
"3297";"AREALVA";"SP"
"1252";"AREIA";"PB"
"1751";"AREIA BRANCA";"SE"
"1082";"AREIA BRANCA";"RN"
"1253";"AREIA DE BARAUNAS";"PB"
"1254";"AREIAL";"PB"
"3298";"AREIAS";"SP"
"3299";"AREIOPOLIS";"SP"
"5151";"ARENAPOLIS";"MT"
"5290";"ARENOPOLIS";"GO"
"1083";"ARES";"RN"
"2284";"ARGIRITA";"MG"
"2285";"ARICANDUVA";"MG"
"2286";"ARINOS";"MG"
"5152";"ARIPUANA";"MT"
"2";"ARIQUEMES";"RO"
"3300";"ARIRANHA";"SP"
"3925";"ARIRANHA DO IVAI";"PR"
"3171";"ARMACAO DE BUZIOS";"RJ"
"4321";"ARMAZEM";"SC"
"905";"ARNEIROZ";"CE"
"679";"AROAZES";"PI"
"1255";"AROEIRAS";"PB"
"680";"ARRAIAL";"PI"
"3172";"ARRAIAL DO CABO";"RJ"
"326";"ARRAIAS";"TO"
"4613";"ARROIO DO MEIO";"RS"
"4614";"ARROIO DO SAL";"RS"
"4616";"ARROIO DO TIGRE";"RS"
"4615";"ARROIO DOS RATOS";"RS"
"4617";"ARROIO GRANDE";"RS"
"4322";"ARROIO TRINTA";"SC"
"3301";"ARTUR NOGUEIRA";"SP"
"5291";"ARUANA";"GO"
"3302";"ARUJA";"SP"
"4323";"ARVOREDO";"SC"
"4618";"ARVOREZINHA";"RS"
"4324";"ASCURRA";"SC"
"3303";"ASPASIA";"SP"
"3926";"ASSAI";"PR"
"906";"ASSARE";"CE"
"3304";"ASSIS";"SP"
"54";"ASSIS BRASIL";"AC"
"1397";"ASSIS CHATEAUBRIAND";"PB"
"3927";"ASSIS CHATEAUBRIAND";"PR"
"1256";"ASSUNCAO";"PB"
"681";"ASSUNCAO DO PIAUI";"PI"
"2287";"ASTOLFO DUTRA";"MG"
"3928";"ASTORGA";"PR"
"3929";"ATALAIA";"PR"
"1649";"ATALAIA";"AL"
"80";"ATALAIA DO NORTE";"AM"
