"id";"nome";"cidade_id";"regional_id";"territorio_id"
"348";"VILA MADRE GERTRUDES V";"2302";"7";"29"
"349";"VILA MANGUEIRAS";"2302";"1";"5"
"350";"VILA MARIA";"2302";"4";"20"
"351";"VILA NOVA GAMELEIRA I";"2302";"7";"29"
"352";"VILA NOVO SÃO LUCAS";"2302";"2";"8"
"353";"VILA PARIS";"2302";"2";"9"
"354";"VILA PINHO";"2302";"1";"5"
"355";"VILA PIRATININGA";"2302";"1";"3"
"356";"VILA PRIMEIRO DE MAIO";"2302";"6";"18"
"357";"VILA RICA";"2302";"8";"35"
"358";"VILA SANTA ROSA";"2302";"8";"35"
"359";"VILA SÃO GERALDO";"2302";"3";"11"
"360";"VILA SÃO JOÃO BATISTA";"2302";"9";"39"
"361";"VILA SÃO PAULO";"2302";"4";"21"
"362";"VILA SÃO RAFAEL";"2302";"3";"13"
"363";"VILA SUMARÉ";"2302";"5";"24"
"364";"VILA SUZANA I";"2302";"8";"35"
"365";"VILA TRINTA E UM DE MARÇO";"2302";"5";"26"
"366";"VILA UNIÃO";"2302";"3";"13"
"367";"VILA VISTA ALEGRE";"2302";"7";"29"
"368";"VISTA ALEGRE";"2302";"7";"29"
"369";"VISTA DO SOL";"2302";"4";"19"
"370";"VITÓRIA";"2302";"4";"20"
"371";"XODÓ-MARIZE";"2302";"6";"15"
"372";"ZILAH SPÓSITO";"2302";"6";"15"
